行业类型,数据时间,有功功率最大值（kw）,有功功率最小值（kw）
大工业用电,2020/7/20,132746.6964,104486.5314
大工业用电,2020/7/21,133916.6148,99244.653
大工业用电,2020/7/22,135056.592,99208.2408
大工业用电,2020/7/23,134482.2132,101066.4096
大工业用电,2020/7/24,135298.0008,585.336
大工业用电,2020/7/25,125723.3742,95738.8308
大工业用电,2020/7/26,114068.1768,86259.3294
大工业用电,2020/7/27,135921.2148,99726.0156
大工业用电,2020/7/28,136422.1968,100728.5694
大工业用电,2020/7/29,137459.8872,102119.0088
大工业用电,2020/7/30,136662.6144,101567.1708
大工业用电,2020/7/31,125902.9542,94072.2198
大工业用电,2020/8/1,120165.6312,85405.4652
大工业用电,2020/8/2,111233.9862,89415.144
大工业用电,2020/8/3,130445.2332,98434.3146
大工业用电,2020/8/4,131631.621,101119.4562
大工业用电,2020/8/5,127867.9218,100461.8838
大工业用电,2020/8/6,132776.8998,101755.4016
大工业用电,2020/8/7,134750.6358,100321.5264
大工业用电,2020/8/8,128809.8822,97627.9614
大工业用电,2020/8/9,117846.0474,92168.8872
大工业用电,2020/8/10,132428.8848,99927.8928
大工业用电,2020/8/11,130271.2206,99405.4326
大工业用电,2020/8/12,130283.4606,97771.8222
大工业用电,2020/8/13,130430.1912,99985.9248
大工业用电,2020/8/14,128910.1254,101009.8446
大工业用电,2020/8/15,121223.7432,94145.4162
大工业用电,2020/8/16,111414.2574,90065.5902
大工业用电,2020/8/17,132992.7582,101494.218
大工业用电,2020/8/18,136877.895,101204.073
大工业用电,2020/8/19,130450.0632,100483.4952
大工业用电,2020/8/20,136072.8798,103693.782
大工业用电,2020/8/21,135139.8684,103201.5714
大工业用电,2020/8/22,131651.1108,99594.5904
大工业用电,2020/8/23,117816.693,94728.7212
大工业用电,2020/8/24,137684.412,105527.9094
大工业用电,2020/8/25,141230.6652,83573.889
大工业用电,2020/8/26,135088.8306,102746.5086
大工业用电,2020/8/27,139386.6978,105228.7596
大工业用电,2020/8/28,138422.2896,56318.406
大工业用电,2020/8/29,130119.2136,4.8
大工业用电,2020/8/30,118844.9526,96391.8798
大工业用电,2020/8/31,129379.6117,83474.2806
大工业用电,2020/9/1,130772.0316,101017.8162
大工业用电,2020/9/2,136218.5484,75766.5078
大工业用电,2020/9/3,138234.2118,104110.5486
大工业用电,2020/9/4,138173.3514,104300.3544
大工业用电,2020/9/5,133672.2444,99054.2976
大工业用电,2020/9/6,121062.5334,93611.4726
大工业用电,2020/9/7,137583.4038,105576.7212
大工业用电,2020/9/8,135510.3816,5827.0212
大工业用电,2020/9/9,136491.4884,107080.2576
大工业用电,2020/9/10,137220.6024,105447.3852
大工业用电,2020/9/11,136072.7232,104464.5612
大工业用电,2020/9/12,134556.5964,103430.6928
大工业用电,2020/9/13,121947.7386,94819.3938
大工业用电,2020/9/14,136107.183,104128.461
大工业用电,2020/9/15,134958.2526,105088.7514
大工业用电,2020/9/16,132671.9088,104991.8502
大工业用电,2020/9/17,140373.6528,106788.3306
大工业用电,2020/9/18,134195.8734,104722.5984
大工业用电,2020/9/19,128641.7064,99864.8352
大工业用电,2020/9/20,120643.4418,93455.6166
大工业用电,2020/9/21,136557.8448,106402.6584
大工业用电,2020/9/22,137284.6992,107861.4354
大工业用电,2020/9/23,135219.435,104959.9212
大工业用电,2020/9/24,135326.7714,104660.9034
大工业用电,2020/9/25,130819.6866,103327.0104
大工业用电,2020/9/26,130506.0324,101918.9532
大工业用电,2020/9/27,124701.5286,100155.8904
大工业用电,2020/9/28,131063.331,104516.472
大工业用电,2020/9/29,130218.8832,102107.0364
大工业用电,2020/9/30,116345.1282,78200.2428
大工业用电,2020/10/1,90035.7624,43765.3278
大工业用电,2020/10/2,59622.4158,46629.2454
大工业用电,2020/10/3,84833.6496,55833.1926
大工业用电,2020/10/4,101609.781,81071.9826
大工业用电,2020/10/5,114554.778,90953.2806
大工业用电,2020/10/6,119026.9368,94741.1784
大工业用电,2020/10/7,118154.0058,94135.7664
大工业用电,2020/10/8,117571.686,97623.4104
大工业用电,2020/10/9,120946.6248,97398.6732
大工业用电,2020/10/10,126473.1558,100123.872
大工业用电,2020/10/11,115958.586,92628.8766
大工业用电,2020/10/12,126638.6754,100217.6664
大工业用电,2020/10/13,127186.3422,104279.883
大工业用电,2020/10/14,129905.6382,104034.6144
大工业用电,2020/10/15,129375.9912,99446.4408
大工业用电,2020/10/16,121828.9962,98407.491
大工业用电,2020/10/17,123557.1552,96996.8988
大工业用电,2020/10/18,114801.5784,88089.9276
大工业用电,2020/10/19,122849.2884,98811.3246
大工业用电,2020/10/20,126508.638,101358.7908
大工业用电,2020/10/21,124796.2548,99924.2052
大工业用电,2020/10/22,122995.3956,100971.0894
大工业用电,2020/10/23,122421.9702,101693.7048
大工业用电,2020/10/24,121180.4814,98825.007
大工业用电,2020/10/25,113587.761,91258.6458
大工业用电,2020/10/26,120364.8978,97501.8222
大工业用电,2020/10/27,127907.3418,99818.3106
大工业用电,2020/10/28,128492.9004,102282.4344
大工业用电,2020/10/29,123670.7964,101077.9476
大工业用电,2020/10/30,123508.8336,100984.0926
大工业用电,2020/10/31,115249.1004,93970.1448
大工业用电,2020/11/1,104185.05,86104.134
大工业用电,2020/11/2,120032.6142,91602.5856
大工业用电,2020/11/3,124007.2908,99960.6354
大工业用电,2020/11/4,122787.0132,100800.603
大工业用电,2020/11/5,125283.5952,102678.5604
大工业用电,2020/11/6,125663.1336,99623.1006
大工业用电,2020/11/7,122833.0824,98275.0452
大工业用电,2020/11/8,113339.0922,89745.081
大工业用电,2020/11/9,125183.7438,98128.584
大工业用电,2020/11/10,122342.1204,100327.1388
大工业用电,2020/11/11,118966.4286,97017.8082
大工业用电,2020/11/12,121809.4758,96442.0638
大工业用电,2020/11/13,122305.098,99901.0692
大工业用电,2020/11/14,119579.6802,97580.7018
大工业用电,2020/11/15,110295.9822,87811.677
大工业用电,2020/11/16,116338.2162,95433.2208
大工业用电,2020/11/17,121589.3196,95645.2626
大工业用电,2020/11/18,125628.4992,100207.161
大工业用电,2020/11/19,125969.5566,101700.4086
大工业用电,2020/11/20,129207.7548,14800.866
大工业用电,2020/11/21,123890.0178,26209.152
大工业用电,2020/11/22,112560.6798,92651.4546
大工业用电,2020/11/23,121855.1526,88673.2794
大工业用电,2020/11/24,121642.4394,97868.1762
大工业用电,2020/11/25,121243.5702,98341.8576
大工业用电,2020/11/26,117707.7414,95707.6356
大工业用电,2020/11/27,120061.5108,92733.1344
大工业用电,2020/11/28,120464.4882,91477.5216
大工业用电,2020/11/29,109189.3704,82703.3454
大工业用电,2020/11/30,115937.2596,88706.8368
大工业用电,2020/12/1,115094.8548,92228.8608
大工业用电,2020/12/2,120611.769,92752.6662
大工业用电,2020/12/3,121373.136,97145.3616
大工业用电,2020/12/4,122966.9376,99058.2708
大工业用电,2020/12/5,120653.4588,95645.7708
大工业用电,2020/12/6,113880.8622,88148.6742
大工业用电,2020/12/7,123510.591,95632.8486
大工业用电,2020/12/8,118875.5892,95279.763
大工业用电,2020/12/9,119639.3844,96896.8422
大工业用电,2020/12/10,117721.9494,97698.2238
大工业用电,2020/12/11,113511.9342,95104.062
大工业用电,2020/12/12,115393.5858,92851.7994
大工业用电,2020/12/13,108863.67,87305.9892
大工业用电,2020/12/14,120884.004,98148.4014
大工业用电,2020/12/15,119251.5012,95545.359
大工业用电,2020/12/16,114897.3888,94310.1822
大工业用电,2020/12/17,117050.7756,96201.5262
大工业用电,2020/12/18,119307.5136,99014.451
大工业用电,2020/12/19,119914.2108,97490.6166
大工业用电,2020/12/20,113588.6586,90666.1548
大工业用电,2020/12/21,117162.2046,93709.9926
大工业用电,2020/12/22,117185.6808,96461.4096
大工业用电,2020/12/23,118211.301,96294.7836
大工业用电,2020/12/24,117684.5376,96749.6454
大工业用电,2020/12/25,117482.1948,95678.526
大工业用电,2020/12/26,114458.613,91903.3608
大工业用电,2020/12/27,110842.5,89914.9512
大工业用电,2020/12/28,115929.1098,93929.1354
大工业用电,2020/12/29,116909.7582,94850.3982
大工业用电,2020/12/30,112086.6828,85605.6024
大工业用电,2020/12/31,107622.4326,58319.574
大工业用电,2021/1/1,90215.3532,48545.9706
大工业用电,2021/1/2,98504.0604,57033.1692
大工业用电,2021/1/3,107641.5846,83926.8222
大工业用电,2021/1/4,112675.6092,93575.139
大工业用电,2021/1/5,114456.441,93730.8312
大工业用电,2021/1/6,115227.9264,93496.9998
大工业用电,2021/1/7,113681.7258,93515.5824
大工业用电,2021/1/8,113002.3566,91556.6856
大工业用电,2021/1/9,111221.7486,90260.8944
大工业用电,2021/1/10,103601.958,82300.7238
大工业用电,2021/1/11,112554.6936,74410.647
大工业用电,2021/1/12,109420.5924,89795.901
大工业用电,2021/1/13,108285.3018,88359.234
大工业用电,2021/1/14,106252.185,84269.3826
大工业用电,2021/1/15,104661.6792,83109.2658
大工业用电,2021/1/16,103629.0012,82904.7636
大工业用电,2021/1/17,94784.7378,75940.1364
大工业用电,2021/1/18,103806.2358,78564.2694
大工业用电,2021/1/19,99877.3314,77070.8094
大工业用电,2021/1/20,95186.6718,70301.2914
大工业用电,2021/1/21,93965.7024,65428.1562
大工业用电,2021/1/22,90500.52,66638.0046
大工业用电,2021/1/23,86469.1194,64155.1014
大工业用电,2021/1/24,77500.0362,58576.728
大工业用电,2021/1/25,80317.8456,53938.6002
大工业用电,2021/1/27,69760.4556,49946.7804
大工业用电,2021/1/28,57845.3778,40936.8474
大工业用电,2021/1/29,60911.175,37860.0594
大工业用电,2021/1/30,60940.6944,41238.618
大工业用电,2021/1/31,49934.7852,16350.531
大工业用电,2021/2/1,50765.4762,33830.0214
大工业用电,2021/2/2,51392.9364,36767.5608
大工业用电,2021/2/3,47939.3064,35139.87
大工业用电,2021/2/4,46897.5516,33363.6846
大工业用电,2021/2/5,46774.473,34913.7078
大工业用电,2021/2/6,39757.7172,32065.3542
大工业用电,2021/2/7,36769.1694,29521.3014
大工业用电,2021/2/8,33114.333,27034.035
大工业用电,2021/2/9,31429.4742,26295.4524
大工业用电,2021/2/10,30221.5656,21391.8246
大工业用电,2021/2/11,23118.9594,20151.3348
大工业用电,2021/2/12,23005.6536,19848.8796
大工业用电,2021/2/13,22594.593,19928.793
大工业用电,2021/2/14,22621.467,20019.8676
大工业用电,2021/2/15,24025.0806,20224.2132
大工业用电,2021/2/16,24573.5916,20352.1212
大工业用电,2021/2/17,26447.9094,20869.0686
大工业用电,2021/2/18,29759.2602,21831.45
大工业用电,2021/2/19,36483.939,25372.1376
大工业用电,2021/2/20,43165.2132,29715.642
大工业用电,2021/2/21,54111.4668,32837.3634
大工业用电,2021/2/22,64488.132,42275.5068
大工业用电,2021/2/23,73609.971,28908.318
大工业用电,2021/2/24,82050.7452,52450.8696
大工业用电,2021/2/25,84259.4184,57034.8294
大工业用电,2021/2/26,86902.344,58163.3202
大工业用电,2021/2/27,90643.254,56250.5808
大工业用电,2021/2/28,90227.1984,59948.334
大工业用电,2021/3/1,103967.3136,60242.5752
大工业用电,2021/3/2,110778.1374,66979.8096
大工业用电,2021/3/3,114864.408,71799.315
大工业用电,2021/3/4,117482.067,74702.7954
大工业用电,2021/3/5,118697.8764,76711.6188
大工业用电,2021/3/6,119230.7184,82891.1814
大工业用电,2021/3/7,107918.2446,79850.1558
大工业用电,2021/3/8,121103.736,83962.3096
大工业用电,2021/3/9,120988.671,89542.1166
大工业用电,2021/3/10,119932.173,92318.8794
大工业用电,2021/3/11,121609.8164,94196.1414
大工业用电,2021/3/12,122811.546,93671.2182
大工业用电,2021/3/13,123876.1296,93040.5978
大工业用电,2021/3/14,109692.7026,84673.2348
大工业用电,2021/3/15,117639.7098,88291.926
大工业用电,2021/3/16,117376.2852,91826.7396
大工业用电,2021/3/17,122169.1044,93316.6986
大工业用电,2021/3/18,125869.6284,97863.9204
大工业用电,2021/3/19,124788.3606,97320.12
大工业用电,2021/3/20,121473.8568,92732.1648
大工业用电,2021/3/21,108897.3306,84605.2122
大工业用电,2021/3/22,119246.4642,93908.6772
大工业用电,2021/3/23,121394.4416,99228.5538
大工业用电,2021/3/24,122355.0084,98965.068
大工业用电,2021/3/25,125959.4958,99494.8416
大工业用电,2021/3/26,118943.016,98757.5754
大工业用电,2021/3/27,122065.4478,98042.8674
大工业用电,2021/3/28,115092.618,93446.1144
大工业用电,2021/3/29,127977.1668,96689.1018
大工业用电,2021/3/30,126809.3208,101898.7578
大工业用电,2021/3/31,125330.4342,94357.506
大工业用电,2021/4/1,126867.075,99073.452
大工业用电,2021/4/2,128158.1208,99987.9276
大工业用电,2021/4/3,111955.116,78305.7996
大工业用电,2021/4/4,89688.9414,56008.2678
大工业用电,2021/4/5,96811.7532,62728.776
大工业用电,2021/4/6,123368.0124,87463.9418
大工业用电,2021/4/7,124613.4096,100833.8826
大工业用电,2021/4/8,125173.8018,100592.7618
大工业用电,2021/4/9,123291.0396,99950.439
大工业用电,2021/4/10,121210.1892,99076.3956
大工业用电,2021/4/11,109779.4932,90056.2032
大工业用电,2021/4/12,129779.9172,101531.6868
大工业用电,2021/4/13,127515.2706,104360.8872
大工业用电,2021/4/14,128927.7132,104589.0648
大工业用电,2021/4/15,123835.4814,98825.6838
大工业用电,2021/4/16,116926.6734,97899.4014
大工业用电,2021/4/17,118483.4346,95002.6404
大工业用电,2021/4/18,112368.3402,432.324
大工业用电,2021/4/19,121093.8936,98231.793
大工业用电,2021/4/20,118308.1566,97183.2558
大工业用电,2021/4/21,122291.1672,98228.8068
大工业用电,2021/4/22,127732.6854,100679.4432
大工业用电,2021/4/23,123283.6908,96608.9994
大工业用电,2021/4/24,114905.5038,94850.5686
大工业用电,2021/4/25,115374.8826,88270.4064
大工业用电,2021/4/26,109851.087,1561.176
大工业用电,2021/4/27,119590.6188,4442.4528
大工业用电,2021/4/28,118584.2226,17142.9708
大工业用电,2021/4/29,116254.2648,29203.6476
大工业用电,2021/4/30,110413.8108,27926.7648
大工业用电,2021/5/1,92450.823,11440.8978
大工业用电,2021/5/2,68993.3184,15918.2112
大工业用电,2021/5/3,97528.275,8274.282
大工业用电,2021/5/4,124583.331,85609.5324
大工业用电,2021/5/5,123131.3634,98222.9658
大工业用电,2021/5/6,127958.9508,98389.7952
大工业用电,2021/5/7,126735.0264,101402.0046
大工业用电,2021/5/8,130440.8994,102623.4258
大工业用电,2021/5/9,121969.5594,96691.308
大工业用电,2021/5/10,125316.7644,98922.2502
大工业用电,2021/5/11,121843.971,97243.2804
大工业用电,2021/5/12,123086.1126,99190.5072
大工业用电,2021/5/13,126098.5896,74190.561
大工业用电,2021/5/14,120042.3006,100004.1468
大工业用电,2021/5/15,115412.0892,93681.4638
大工业用电,2021/5/16,118839.0882,88800.2376
大工业用电,2021/5/17,123662.7618,93939.6222
大工业用电,2021/5/18,126960.9444,102437.6808
大工业用电,2021/5/19,118667.163,95157.2682
大工业用电,2021/5/20,118765.7802,20733.0624
大工业用电,2021/5/21,117219.0912,86888.034
大工业用电,2021/5/22,111365.5338,84675.0582
大工业用电,2021/5/23,111925.4124,76097.628
大工业用电,2021/5/24,114890.0994,29429.1258
大工业用电,2021/5/25,117976.0056,83149.656
大工业用电,2021/5/26,115523.2512,76645.6986
大工业用电,2021/5/27,115759.4046,77312.8134
大工业用电,2021/5/28,114235.3536,82217.829
大工业用电,2021/5/29,111761.0418,82971.5442
大工业用电,2021/5/30,113472.9684,81442.7934
大工业用电,2021/5/31,110488.3278,79503.1176
大工业用电,2021/6/1,112082.3652,80809.6116
大工业用电,2021/6/2,117490.368,84615.7086
大工业用电,2021/6/3,115925.4708,93710.0274
大工业用电,2021/6/4,117920.1474,98894.778
大工业用电,2021/6/5,118492.8456,92684.8446
大工业用电,2021/6/6,114252.294,96552.6972
大工业用电,2021/6/7,123254.8758,101847.1164
大工业用电,2021/6/8,120023.145,96930.285
大工业用电,2021/6/9,121435.6242,99032.2128
大工业用电,2021/6/10,122073.8082,98488.9746
大工业用电,2021/6/11,116309.7186,95552.0046
大工业用电,2021/6/12,113902.0656,93318.4038
大工业用电,2021/6/13,108156.8424,79994.9178
大工业用电,2021/6/14,100308.4254,53120.6556
大工业用电,2021/6/15,122022.3156,60346.5504
大工业用电,2021/6/16,128984.0976,98488.215
大工业用电,2021/6/17,125579.0376,97038.0558
大工业用电,2021/6/18,123932.757,97300.5396
大工业用电,2021/6/19,125658.2574,91478.7584
大工业用电,2021/6/20,113596.7226,85436.565
大工业用电,2021/6/21,120697.9482,90623.7552
大工业用电,2021/6/22,123698.8032,93783.2652
大工业用电,2021/6/23,120645.099,93605.5356
大工业用电,2021/6/24,120191.5038,83980.8486
大工业用电,2021/6/25,122373.42,85729.1676
大工业用电,2021/6/26,116462.5488,90147.1974
大工业用电,2021/6/27,108300.8466,84571.6392
大工业用电,2021/6/28,120505.503,90940.8906
大工业用电,2021/6/29,127264.1292,94785.1524
大工业用电,2021/6/30,115153.083,89997.2118
大工业用电,2021/7/1,110351.7642,88274.9226
大工业用电,2021/7/2,119546.5506,90661.5084
大工业用电,2021/7/3,122990.2632,92761.2864
大工业用电,2021/7/4,111144.4188,88900.3848
大工业用电,2021/7/5,116664.5166,87714.4254
大工业用电,2021/7/6,120953.412,93724.9932
大工业用电,2021/7/7,126434.0916,95583.2526
大工业用电,2021/7/8,128415.8454,98566.6062
大工业用电,2021/7/9,123286.7112,94359.0348
大工业用电,2021/7/10,121649.6574,92895.3666
大工业用电,2021/7/11,108759.9198,82566.153
大工业用电,2021/7/12,122974.5744,92252.3532
大工业用电,2021/7/13,127426.5042,97842.627
大工业用电,2021/7/14,127363.9728,94867.4814
大工业用电,2021/7/15,123512.8392,91937.1414
大工业用电,2021/7/16,116926.41,89307.8304
大工业用电,2021/7/17,116214.183,86549.2794
大工业用电,2021/7/18,105033.9414,80380.3554
大工业用电,2021/7/19,115643.2278,89106.0678
大工业用电,2021/7/20,125545.6878,90437.8518
大工业用电,2021/7/21,116902.038,92935.4472
大工业用电,2021/7/22,112539.1242,84188.0736
大工业用电,2021/7/23,112812.5484,76578.8952
大工业用电,2021/7/24,110385.8586,87296.784
大工业用电,2021/7/25,98794.5048,77801.466
大工业用电,2021/7/26,100516.6074,80047.14
大工业用电,2021/7/27,102249.4356,85280.4828
大工业用电,2021/7/28,105702.3792,77374.7292
大工业用电,2021/7/29,106409.4258,82359.15
大工业用电,2021/7/30,103972.284,82999.9908
大工业用电,2021/7/31,101897.0694,74296.614
大工业用电,2021/8/1,93899.6364,68894.8692
大工业用电,2021/8/2,107846.25,64462.5864
大工业用电,2021/8/3,110459.6562,78468.8932
大工业用电,2021/8/4,114175.602,80315.056
大工业用电,2021/8/5,111748.3644,80527.8552
大工业用电,2021/8/6,112697.4138,75492.375
大工业用电,2021/8/7,109202.424,76014.6252
大工业用电,2021/8/8,97539.531,69557.1282
大工业用电,2021/8/9,105458.4366,1359.714
大工业用电,2021/8/10,107031.552,77671.9722
大工业用电,2021/8/11,107449.6836,75082.9398
大工业用电,2021/8/12,111746.1876,80566.7958
大工业用电,2021/8/13,110836.1286,76735.3662
大工业用电,2021/8/14,105264.8946,76869.57
大工业用电,2021/8/15,96921.4992,67583.3286
大工业用电,2021/8/16,105070.6878,78837.6114
大工业用电,2021/8/17,108969.6882,82274.6022
大工业用电,2021/8/18,106800.381,79368.7974
大工业用电,2021/8/19,108722.0748,80112.0294
大工业用电,2021/8/20,103599.9762,75960.3624
大工业用电,2021/8/21,100231.5336,75788.1582
大工业用电,2021/8/22,96161.7888,73766.3016
大工业用电,2021/8/23,97736.9742,79301.5164
大工业用电,2021/8/24,100631.8902,81454.1934
大工业用电,2021/8/25,100389.7434,80168.85
大工业用电,2021/8/26,99205.5456,76555.1688
大工业用电,2021/8/27,102950.532,77916.3834
大工业用电,2021/8/28,107493.4824,82662.102
大工业用电,2021/8/29,98528.982,74703.2514
大工业用电,2021/8/30,106633.8348,79252.9464
大工业用电,2021/8/31,101834.844,74755.6662
非普工业,2019/10/10,2621.3316,892.5384
非普工业,2019/10/11,2669.0172,978.3816
非普工业,2019/10/12,2632.9704,1020.0588
非普工业,2019/10/13,1810.2156,965.6964
非普工业,2019/10/14,2522.4576,943.8792
非普工业,2019/10/15,2547.534,969.5412
非普工业,2019/10/16,2281.4472,864.786
非普工业,2019/10/17,2250.7188,861.5748
非普工业,2019/10/18,2021.9556,842.7576
非普工业,2019/10/19,1603.122,830.6784
非普工业,2019/10/20,1572.9312,831.1956
非普工业,2019/10/21,2236.6104,852.6804
非普工业,2019/10/22,2110.0848,849.2664
非普工业,2019/10/23,2228.3592,843.858
非普工业,2019/10/24,2182.4424,848.91
非普工业,2019/10/25,2176.9032,833.07
非普工业,2019/10/26,1633.266,815.1084
非普工业,2019/10/27,1445.37,782.8716
非普工业,2019/10/28,2075.7648,738.6672
非普工业,2019/10/29,1705.2348,684.204
非普工业,2019/10/30,1856.2896,735.0336
非普工业,2019/10/31,1900.5336,682.2624
非普工业,2019/11/1,1923.9336,688.1532
非普工业,2019/11/2,1574.388,800.082
非普工业,2019/11/3,1599.9984,539.9652
非普工业,2019/11/4,1971.9636,755.4516
非普工业,2019/11/5,1871.2008,695.442
非普工业,2019/11/6,1925.4288,718.9188
非普工业,2019/11/7,1909.1424,706.6524
非普工业,2019/11/8,1809.5796,706.5672
非普工业,2019/11/9,1435.548,-10.944
非普工业,2019/11/10,1384.2984,705.1152
非普工业,2019/11/11,1869.9264,702.9252
非普工业,2019/11/12,2044.2636,759.1692
非普工业,2019/11/13,2045.2308,814.0764
非普工业,2019/11/14,1868.1972,714.5148
非普工业,2019/11/15,1882.8204,691.59
非普工业,2019/11/16,1428.498,781.3488
非普工业,2019/11/17,1510.1952,726.1224
非普工业,2019/11/18,2011.9824,748.6968
非普工业,2019/11/19,1684.0932,657.6768
非普工业,2019/11/20,1759.6728,664.5768
非普工业,2019/11/21,1731.876,683.85
非普工业,2019/11/22,1754.6928,664.1088
非普工业,2019/11/23,1418.2416,683.6352
非普工业,2019/11/24,1437.7176,723.1704
非普工业,2019/11/25,1956.3216,772.5144
非普工业,2019/11/26,1858.704,702.372
非普工业,2019/11/27,1845.9672,702.438
非普工业,2019/11/28,1778.7804,647.1588
非普工业,2019/11/29,1764.3312,637.4328
非普工业,2019/11/30,1257.1116,667.5924
非普工业,2019/12/1,1311.6,655.2996
非普工业,2019/12/2,1714.0488,407.2428
非普工业,2019/12/3,1724.3352,651.8616
非普工业,2019/12/4,1820.2668,629.0628
非普工业,2019/12/5,1748.586,649.2552
非普工业,2019/12/6,1689.2244,636.1416
非普工业,2019/12/7,1184.682,629.004
非普工业,2019/12/8,1328.2944,596.6952
非普工业,2019/12/9,1797.6024,614.5152
非普工业,2019/12/10,1778.91,680.0292
非普工业,2019/12/11,1717.4148,651.5904
非普工业,2019/12/12,1677.0744,660.5928
非普工业,2019/12/13,1874.034,658.8516
非普工业,2019/12/14,1321.3404,651.4152
非普工业,2019/12/15,1321.1952,658.5636
非普工业,2019/12/16,1973.3412,691.08
非普工业,2019/12/17,1962.4524,788.0496
非普工业,2019/12/18,1987.1904,796.5012
非普工业,2019/12/19,1923.0912,712.914
非普工业,2019/12/20,1838.4432,678.5916
非普工业,2019/12/21,1271.4684,647.076
非普工业,2019/12/22,1238.3712,634.368
非普工业,2019/12/23,1778.772,658.554
非普工业,2019/12/24,1904.9172,697.5156
非普工业,2019/12/25,1899.672,672.0588
非普工业,2019/12/26,1867.6212,665.4804
非普工业,2019/12/27,1721.5896,659.3064
非普工业,2019/12/28,1265.1828,648.2568
非普工业,2019/12/29,1333.8852,649.716
非普工业,2019/12/30,1930.284,655.74
非普工业,2019/12/31,1877.6856,688.2924
非普工业,2020/1/1,1243.1964,654.6024
非普工业,2020/1/2,1790.1048,663.7908
非普工业,2020/1/3,1779.6324,692.2044
非普工业,2020/1/4,1311.5892,374.5848
非普工业,2020/1/5,1303.4364,648.5304
非普工业,2020/1/6,1855.1112,645.2064
非普工业,2020/1/7,1898.3916,653.5416
非普工业,2020/1/8,1770.1056,664.3752
非普工业,2020/1/9,1738.7712,535.8324
非普工业,2020/1/10,1735.59,659.6184
非普工业,2020/1/11,1308.0228,647.136
非普工业,2020/1/12,1086.0036,487.3824
非普工业,2020/1/13,1582.8348,622.8468
非普工业,2020/1/14,1622.3304,658.1604
非普工业,2020/1/15,1576.6632,662.7792
非普工业,2020/1/16,1629.336,640.3068
非普工业,2020/1/17,1506.078,625.8792
非普工业,2020/1/18,1038.4536,518.22
非普工业,2020/1/19,1217.1936,571.5216
非普工业,2020/1/20,1081.4844,597.5832
非普工业,2020/1/21,1113.7368,562.6284
非普工业,2020/1/22,1079.5716,584.0688
非普工业,2020/1/23,1039.3416,516.8232
非普工业,2020/1/24,865.6368,511.29
非普工业,2020/1/25,819.0636,572.0664
非普工业,2020/1/26,726.588,329.6604
非普工业,2020/1/27,780.2928,268.4772
非普工业,2020/1/28,724.8528,191.2452
非普工业,2020/1/29,732.5796,208.1472
非普工业,2020/1/30,856.8276,199.8384
非普工业,2020/1/31,823.86,240.2424
非普工业,2020/2/1,797.0112,279.7164
非普工业,2020/2/2,784.44,428.2128
非普工业,2020/2/3,945.1104,547.1844
非普工业,2020/2/4,877.7112,558.0804
非普工业,2020/2/5,905.1336,582.774
非普工业,2020/2/6,888.9228,488.364
非普工业,2020/2/7,915.3288,575.1696
非普工业,2020/2/8,820.2588,352.5996
非普工业,2020/2/9,966.8184,421.8084
非普工业,2020/2/10,1045.2684,702.642
非普工业,2020/2/11,1039.8468,700.0512
非普工业,2020/2/12,1070.8356,180.684
非普工业,2020/2/13,1144.3332,720.738
非普工业,2020/2/14,1234.8336,610.9104
非普工业,2020/2/15,1161.0996,605.886
非普工业,2020/2/16,1093.4616,733.992
非普工业,2020/2/17,1012.386,488.2596
非普工业,2020/2/18,1044.534,542.5524
非普工业,2020/2/19,1172.4384,589.4892
非普工业,2020/2/20,1132.0512,573.336
非普工业,2020/2/21,1084.842,581.8476
非普工业,2020/2/22,1075.956,536.9892
非普工业,2020/2/23,1142.3016,560.0652
非普工业,2020/2/24,1246.8972,625.1496
非普工业,2020/2/25,1267.7412,622.4916
非普工业,2020/2/26,1319.8512,799.0884
非普工业,2020/2/27,1373.7384,743.5992
非普工业,2020/2/28,1451.7528,788.4204
非普工业,2020/2/29,1268.3244,694.5816
非普工业,2020/3/1,1307.1444,804.6168
非普工业,2020/3/2,1814.6856,826.6068
非普工业,2020/3/3,1915.3176,777.816
非普工业,2020/3/4,1943.8188,777.6504
非普工业,2020/3/5,1519.1904,764.7288
非普工业,2020/3/6,1620.5688,769.638
非普工业,2020/3/7,1407.1584,796.5756
非普工业,2020/3/8,1597.638,801.0216
非普工业,2020/3/9,1985.3568,823.6032
非普工业,2020/3/10,1660.5768,785.3736
非普工业,2020/3/11,1987.902,858.96
非普工业,2020/3/12,1756.632,867.5136
非普工业,2020/3/13,2226.1788,934.6056
非普工业,2020/3/14,1547.5296,775.9704
非普工业,2020/3/15,1446.4548,874.314
非普工业,2020/3/16,1653.2772,896.568
非普工业,2020/3/17,1799.4828,912.6756
非普工业,2020/3/18,1710.6624,931.9332
非普工业,2020/3/19,1948.7196,903.7956
非普工业,2020/3/20,1785.8316,769.3824
非普工业,2020/3/21,1673.922,985.5492
非普工业,2020/3/22,1645.0452,995.718
非普工业,2020/3/23,1926.4392,1030.23
非普工业,2020/3/24,1947.204,1056.7764
非普工业,2020/3/25,1987.6584,1036.806
非普工业,2020/3/26,2323.1196,1046.6652
非普工业,2020/3/27,2500.3896,1145.4036
非普工业,2020/3/28,1546.752,953.85
非普工业,2020/3/29,1579.4244,852.2832
非普工业,2020/3/30,1734.5916,782.6292
非普工业,2020/3/31,1778.7756,853.8708
非普工业,2020/4/1,1916.1852,972.864
