日期,天气状况,最高温度,最低温度,白天风力风向,夜晚风力风向,,,
2018年10月17日,大雨/小雨,22℃,18℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2018年10月18日,阴/阴,25℃,20℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2018年10月19日,阴/多云,26℃,21℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2018年10月20日,阴/多云,27℃,21℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2018年10月21日,多云/多云,29℃,22℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2018年10月22日,阵雨/多云,28℃,22℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2018年10月23日,阵雨/阴,23℃,19℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2018年10月24日,阴/多云,25℃,20℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2018年10月25日,多云/多云,26℃,21℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2018年10月26日,小雨/阴,24℃,19℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2018年10月27日,晴/晴,25℃,18℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2018年10月28日,晴/晴,26℃,16℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2018年10月29日,晴/晴,28℃,17℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2018年10月30日,晴/晴,29℃,19℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2018年10月31日,多云/阴,28℃,20℃,北风3-4级,北风3-4级,,,28℃
2018年11月1日,阵雨/阵雨,26℃,19℃,北风4-5级,北风4-5级,,,26℃
2018年11月2日,阴/多云,27℃,19℃,北风3-4级,北风3-4级,,,27℃
2018年11月3日,阵雨/多云,26℃,19℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2018年11月4日,小雨/阴,25℃,19℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2018年11月5日,多云/多云,26℃,20℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2018年11月6日,多云/多云,29℃,21℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2018年11月7日,多云/阴,27℃,19℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2018年11月8日,多云/多云,26℃,18℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2018年11月9日,多云/阴,26℃,18℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2018年11月10日,阵雨/多云,26℃,19℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2018年11月11日,多云/多云,28℃,21℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2018年11月12日,阴/多云,27℃,20℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2018年11月13日,多云/多云,28℃,20℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2018年11月14日,多云/阴,27℃,20℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2018年11月15日,小雨/小雨,26℃,22℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2018年11月16日,小雨/小雨,25℃,19℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2018年11月17日,阴/阴,22℃,18℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2018年11月18日,阴/小雨,24℃,16℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2018年11月19日,阵雨/阴,21℃,15℃,无持续风向1-2级,无持续风向1-2级,,,21℃
2018年11月20日,阴/阴,24℃,19℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2018年11月21日,中雨/中雨,22℃,14℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2018年11月22日,晴/晴,21℃,12℃,北风3-4级,北风3-4级,,,21℃
2018年11月23日,晴/多云,22℃,14℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2018年11月24日,晴/晴,23℃,15℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2018年11月25日,阴/阴,23℃,16℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2018年11月26日,阵雨/多云,24℃,15℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2018年11月27日,多云/阴,24℃,17℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2018年11月28日,阴/多云,23℃,14℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2018年11月29日,晴/多云,24℃,15℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2018年11月30日,多云/多云,26℃,17℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2018年12月1日,小雨/阴,24℃,17℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2018年12月2日,多云/多云,27℃,20℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2018年12月3日,多云/阴,28℃,19℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2018年12月4日,多云/多云,28℃,19℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2018年12月5日,多云/阴,27℃,20℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2018年12月6日,小雨/阴,26℃,14℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2018年12月7日,阴/阴,16℃,12℃,北风3-4级,北风3-4级,,,16℃
2018年12月8日,阴/小雨,15℃,9℃,无持续风向1-2级,无持续风向1-2级,,,15℃
2018年12月9日,小到中雨/小雨,11℃,8℃,无持续风向1-2级,无持续风向1-2级,,,11℃
2018年12月10日,小雨/阴,13℃,10℃,无持续风向1-2级,无持续风向1-2级,,,13℃
2018年12月11日,小雨/小雨,15℃,8℃,北风3-4级,北风3-4级,,,15℃
2018年12月12日,小雨/小雨,10℃,7℃,北风3-4级,北风3-4级,,,10℃
2018年12月13日,阴/阴,13℃,9℃,无持续风向1-2级,无持续风向1-2级,,,13℃
2018年12月14日,多云/多云,15℃,10℃,无持续风向1-2级,无持续风向1-2级,,,15℃
2018年12月15日,多云/多云,19℃,12℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2018年12月16日,阴/多云,19℃,12℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2018年12月17日,晴/晴,20℃,10℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2018年12月18日,晴/多云,21℃,10℃,无持续风向1-2级,无持续风向1-2级,,,21℃
2018年12月19日,多云/多云,22℃,15℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2018年12月20日,阴/多云,25℃,19℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2018年12月21日,多云/多云,26℃,17℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2018年12月22日,多云/阴,27℃,18℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2018年12月23日,阴/阴,21℃,14℃,北风3-4级,北风3-4级,,,21℃
2018年12月24日,小雨/小雨,16℃,13℃,无持续风向1-2级,无持续风向1-2级,,,16℃
2018年12月25日,阴/阴,19℃,14℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2018年12月26日,多云/多云,23℃,14℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2018年12月27日,阴/阴,18℃,13℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2018年12月28日,阴/阴,18℃,8℃,北风3-4级,北风3-4级,,,18℃
2018年12月29日,阴/多云,11℃,5℃,北风3-4级,北风3-4级,,,11℃
2018年12月30日,阴/阴,10℃,5℃,北风3-4级,北风3-4级,,,10℃
2018年12月31日,阴/阴,10℃,4℃,北风3-4级,北风3-4级,,,10℃
2019年1月1日,阴/阴,12℃,7℃,无持续风向1-2级,无持续风向1-2级,,,12℃
2019年1月2日,小雨/小雨,11℃,6℃,无持续风向1-2级,无持续风向1-2级,,,11℃
2019年1月3日,多云/小雨,15℃,9℃,无持续风向1-2级,无持续风向1-2级,,,15℃
2019年1月4日,阴/小雨,17℃,12℃,无持续风向1-2级,无持续风向1-2级,,,17℃
2019年1月5日,阴/小雨,17℃,12℃,无持续风向1-2级,无持续风向1-2级,,,17℃
2019年1月6日,阴/阴,16℃,11℃,无持续风向1-2级,无持续风向1-2级,,,16℃
2019年1月7日,阴/阴,16℃,12℃,无持续风向1-2级,无持续风向1-2级,,,16℃
2019年1月8日,阴/阴,15℃,12℃,无持续风向1-2级,无持续风向1-2级,,,15℃
2019年1月9日,阴/小雨,18℃,11℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2019年1月10日,阴/阴,17℃,13℃,无持续风向1-2级,无持续风向1-2级,,,17℃
2019年1月11日,阴/小雨,18℃,15℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2019年1月12日,多云/阴,20℃,14℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2019年1月13日,阴/阴,22℃,16℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年1月14日,阴/阴,22℃,15℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年1月15日,阴/阴,20℃,12℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2019年1月16日,阴/阴,15℃,10℃,北风3-4级,北风3-4级,,,15℃
2019年1月17日,多云/多云,18℃,9℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2019年1月18日,多云/阴,18℃,9℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2019年1月19日,阴/阴,20℃,14℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2019年1月20日,多云/阴,22℃,12℃,北风3-4级,北风3-4级,,,22℃
2019年1月21日,多云/多云,17℃,8℃,北风3-4级,北风3-4级,,,17℃
2019年1月22日,晴/晴,17℃,7℃,无持续风向1-2级,无持续风向1-2级,,,17℃
2019年1月23日,晴/晴,19℃,9℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2019年1月24日,多云/多云,20℃,12℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2019年1月25日,晴/晴,23℃,12℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2019年1月26日,晴/晴,20℃,10℃,北风3-4级,北风3-4级,,,20℃
2019年1月27日,晴/多云,23℃,12℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2019年1月28日,多云/晴,22℃,12℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年1月29日,阴/阴,23℃,14℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2019年1月30日,多云/阴,25℃,15℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年1月31日,多云/多云,24℃,12℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2019年2月1日,多云/阴,19℃,12℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2019年2月2日,阴/多云,23℃,15℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2019年2月3日,阴/多云,22℃,16℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年2月4日,阴/阴,26℃,18℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2019年2月5日,阴/阴,26℃,19℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2019年2月6日,多云/阴,26℃,20℃,南风3-4级,南风3-4级,,,26℃
2019年2月7日,阴/多云,28℃,21℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年2月8日,多云/多云,28℃,20℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年2月9日,阴/阴,23℃,16℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2019年2月10日,阴/阴,12℃,12℃,无持续风向1-2级,无持续风向1-2级,,,12℃
2019年2月11日,小雨/多云,13℃,8℃,无持续风向1-2级,无持续风向1-2级,,,13℃
2019年2月12日,多云/多云,20℃,11℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2019年2月13日,阴/阴,24℃,18℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2019年2月14日,阴/阴,24℃,17℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2019年2月15日,阵雨/阵雨,25℃,17℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年2月16日,阴/小雨,25℃,16℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年2月17日,小雨/中雨,15℃,12℃,无持续风向1-2级,无持续风向1-2级,,,15℃
2019年2月18日,大雨/大雨,15℃,13℃,无持续风向1-2级,无持续风向1-2级,,,15℃
2019年2月19日,小雨/阴,20℃,16℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2019年2月20日,阵雨/阵雨,24℃,18℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2019年2月21日,大雨/小雨,24℃,15℃,南风1-2级,南风1-2级,,,24℃
2019年2月22日,阴/中雨,18℃,11℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2019年2月23日,小雨/小雨,13℃,11℃,无持续风向1-2级,无持续风向1-2级,,,13℃
2019年2月24日,小雨/阴,13℃,9℃,无持续风向1-2级,无持续风向1-2级,,,13℃
2019年2月25日,小雨/阴,16℃,12℃,无持续风向1-2级,无持续风向1-2级,,,16℃
2019年2月26日,小雨/小雨,14℃,11℃,无持续风向1-2级,无持续风向1-2级,,,14℃
2019年2月27日,阴/阴,22℃,15℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年2月28日,阴/阴,22℃,15℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年3月1日,多云/多云,25℃,16℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年3月2日,多云/中雨,26℃,15℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2019年3月3日,小雨/多云,20℃,13℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2019年3月4日,小雨/小雨,22℃,13℃,东南风1-2级,东南风1-2级,,,22℃
2019年3月5日,雷阵雨/中雨,23℃,15℃,南风3-4级,南风3-4级,,,23℃
2019年3月6日,中到大雨/中到大雨,19℃,14℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2019年3月7日,大雨/中雨,16℃,13℃,无持续风向1-2级,无持续风向1-2级,,,16℃
2019年3月8日,阵雨/阵雨,16℃,13℃,无持续风向1-2级,无持续风向1-2级,,,16℃
2019年3月9日,小到中雨/小到中雨,17℃,13℃,无持续风向1-2级,无持续风向1-2级,,,17℃
2019年3月10日,阵雨/多云,17℃,12℃,无持续风向1-2级,无持续风向1-2级,,,17℃
2019年3月11日,多云/晴,22℃,14℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年3月12日,晴/多云,24℃,14℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2019年3月13日,阵雨/中雨,25℃,17℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年3月14日,中雨/小雨,20℃,18℃,无持续风向1-2级,无持续风向1-2级,,,20℃
2019年3月15日,小雨/阴,19℃,14℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2019年3月16日,阴/阴,22℃,17℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年3月17日,阴/阴,24℃,17℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2019年3月18日,小雨/阴,23℃,17℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2019年3月19日,多云/多云,27℃,19℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年3月20日,多云/多云,28℃,22℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年3月21日,多云/阵雨,29℃,22℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年3月22日,雷阵雨/雷阵雨,28℃,18℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年3月23日,小雨/小到中雨,17℃,13℃,无持续风向1-2级,无持续风向1-2级,,,17℃
2019年3月24日,小雨/小到中雨,18℃,12℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2019年3月25日,小雨/阴,18℃,14℃,无持续风向1-2级,无持续风向1-2级,,,18℃
2019年3月26日,阴/阴,26℃,18℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2019年3月27日,阴/多云,25℃,20℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年3月28日,多云/阴,27℃,21℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年3月29日,中雨/小到中雨,26℃,21℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2019年3月30日,多云/多云,27℃,20℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年3月31日,中雨/阵雨,26℃,18℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2019年4月1日,小雨/阴,22℃,16℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年4月2日,阴/阴,24℃,17℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2019年4月3日,阴/阵雨,27℃,20℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年4月4日,阵雨/阵雨,23℃,17℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2019年4月5日,多云/多云,27℃,18℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年4月6日,多云/多云,28℃,21℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年4月7日,多云/多云,30℃,22℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年4月8日,多云/多云,31℃,24℃,南风3-4级,南风3-4级,,,31℃
2019年4月9日,多云/多云,31℃,24℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年4月10日,雷阵雨/雷阵雨,30℃,22℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年4月11日,中雨/中雨,30℃,23℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年4月12日,暴雨/中到大雨,19℃,16℃,无持续风向1-2级,无持续风向1-2级,,,19℃
2019年4月13日,阵雨/大雨,22℃,17℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年4月14日,大雨/阵雨,25℃,20℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年4月15日,阵雨/大雨,25℃,20℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年4月16日,中到大雨/小雨,23℃,19℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2019年4月17日,多云/多云,27℃,20℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年4月18日,中雨/暴雨,25℃,22℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年4月19日,暴雨/大雨,25℃,22℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年4月20日,中雨/雷阵雨,28℃,20℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2019年4月21日,中雨/阵雨,27℃,23℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年4月22日,雷阵雨/多云,30℃,24℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年4月23日,阵雨/多云,30℃,24℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年4月24日,多云/多云,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年4月25日,雷阵雨/阴,32℃,25℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年4月26日,大雨/中雨,30℃,25℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年4月27日,小雨/阵雨,26℃,22℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2019年4月28日,雷阵雨/阵雨,27℃,22℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年4月29日,阵雨/雷阵雨,30℃,23℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年4月30日,暴雨/阵雨,27℃,21℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年5月1日,多云/多云,27℃,19℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年5月2日,阵雨/多云,25℃,20℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年5月3日,多云/多云,26℃,20℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2019年5月4日,小雨/小雨,25℃,21℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2019年5月5日,大雨/大雨,22℃,18℃,东风3-4级,东风3-4级,,,22℃
2019年5月6日,中雨/中雨,23℃,19℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2019年5月7日,阵雨/中雨,23℃,19℃,无持续风向1-2级,无持续风向1-2级,,,23℃
2019年5月8日,大雨/中雨,22℃,19℃,无持续风向1-2级,无持续风向1-2级,,,22℃
2019年5月9日,阴/阴,24℃,20℃,无持续风向1-2级,无持续风向1-2级,,,24℃
2019年5月10日,多云/多云,29℃,23℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年5月11日,多云/多云,32℃,24℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年5月12日,多云/多云,32℃,23℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年5月13日,多云/多云,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年5月14日,多云/多云,32℃,26℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年5月15日,雷阵雨/多云,32℃,26℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年5月16日,雷阵雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年5月17日,雷阵雨/阵雨,34℃,27℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年5月18日,雷阵雨/阵雨,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年5月19日,雷阵雨/中雨,35℃,24℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年5月20日,中雨/阵雨,31℃,24℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年5月21日,阴/阵雨,31℃,24℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年5月22日,中雨/大雨,29℃,24℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年5月23日,阵雨/大雨,29℃,23℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年5月24日,中到大雨/中雨,29℃,24℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年5月25日,中雨/中雨,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年5月26日,中雨/大雨,30℃,24℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年5月27日,暴雨/大雨,29℃,24℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年5月28日,中雨/大到暴雨,29℃,24℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年5月29日,暴雨/大雨,27℃,24℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年5月30日,大雨/大雨,29℃,24℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年5月31日,中雨/阵雨,29℃,25℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年6月1日,大雨/大雨,30℃,25℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年6月2日,大雨/中雨,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年6月3日,雷阵雨/中雨,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年6月4日,雷阵雨/雷阵雨,34℃,26℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年6月5日,雷阵雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年6月6日,雷阵雨/多云,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年6月7日,雷阵雨/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年6月8日,阵雨/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年6月9日,雷阵雨/雷阵雨,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年6月10日,雷阵雨/大雨,33℃,24℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年6月11日,中到大雨/中雨,29℃,25℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2019年6月12日,大雨/大雨,30℃,24℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年6月13日,暴雨/阵雨,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年6月14日,晴/多云,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年6月15日,多云/多云,35℃,25℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年6月16日,雷阵雨/雷阵雨,33℃,26℃,东南风3-4级,东南风3-4级,,,33℃
2019年6月17日,雷阵雨/雷阵雨,32℃,26℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年6月18日,中雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年6月19日,阵雨/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年6月20日,多云/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年6月21日,雷阵雨/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年6月22日,多云/多云,35℃,29℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年6月23日,大雨/大到暴雨,34℃,26℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年6月24日,大雨/中雨,27℃,25℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2019年6月25日,大雨/中雨,30℃,26℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年6月26日,中雨/阵雨,31℃,26℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2019年6月27日,雷阵雨/雷阵雨,34℃,27℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年6月28日,雷阵雨/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年6月29日,雷阵雨/多云,36℃,28℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2019年6月30日,雷阵雨/多云,36℃,28℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2019年7月1日,中雨/中雨,34℃,28℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年7月2日,阵雨/阵雨,34℃,25℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年7月3日,大雨/大雨,30℃,26℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年7月4日,雷阵雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年7月5日,阵雨/多云,34℃,28℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年7月6日,阵雨/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年7月7日,多云/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年7月8日,雷阵雨/多云,35℃,28℃,西南风3-4级,西南风3-4级,,,35℃
2019年7月9日,雷阵雨/大到暴雨,32℃,25℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2019年7月10日,暴雨/雷阵雨,30℃,26℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年7月11日,阵雨/阵雨,30℃,26℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2019年7月12日,雷阵雨/雷阵雨,34℃,27℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年7月13日,阵雨/多云,34℃,28℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年7月14日,阵雨/多云,34℃,28℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年7月15日,雷阵雨/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年7月16日,多云/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年7月17日,晴/晴,37℃,29℃,无持续风向1-2级,无持续风向1-2级,,,37℃
2019年7月18日,阵雨/阵雨,37℃,28℃,无持续风向1-2级,无持续风向1-2级,,,37℃
2019年7月19日,雷阵雨/阵雨,36℃,28℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2019年7月20日,雷阵雨/阵雨,34℃,27℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年7月21日,雷阵雨/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2019年7月22日,雷阵雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2019年7月23日,雷阵雨/阵雨,34℃,26℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年7月24日,雷阵雨/多云,34℃,26℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年7月25日,雷阵雨/多云,34℃,27℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2019年7月26日,雷阵雨/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
